# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Bfree	Time(ms)Free}
10	0.000637	0.000171
20	0.000506	0.000058
30	0.000428	0.000169
40	0.000391	0.000044
50	0.000543	0.000176
60	0.000625	0.000120
70	0.000507	0.000062
80	0.000520	0.000128
90	0.000496	0.000132
100	0.000509	0.000061
110	0.000745	0.000135
120	0.000746	0.000065
130	0.000795	0.000143
140	0.000781	0.000121
150	0.001530	0.000103
160	0.000735	0.000127
170	0.000725	0.000154
180	0.000761	0.000159
190	0.000969	0.000170
200	0.000734	0.000205
210	0.000782	0.000321
220	0.000791	0.000326
230	0.000698	0.000223
240	0.001145	0.000225
250	0.001181	0.000263
260	0.001071	0.000242
270	0.001043	0.000243
280	0.001048	0.000246
290	0.001033	0.000262
300	0.001061	0.000273
310	0.001084	0.000276
320	0.001310	0.000428
330	0.001037	0.000305
340	0.001044	0.000620
350	0.001078	0.000323
360	0.001071	0.000332
370	0.001041	0.000377
380	0.001046	0.000360
390	0.001035	0.000355
400	0.001029	0.000374
410	0.001071	0.000391
420	0.001271	0.000392
430	0.001032	0.000410
440	0.001022	0.000425
450	0.001061	0.000420
460	0.001056	0.000451
470	0.001065	0.000436
480	0.001004	0.000455
490	0.001821	0.000464
500	0.001925	0.000478
510	0.002020	0.000566
520	0.001952	0.000501
530	0.001974	0.000496
540	0.002052	0.000514
550	0.001832	0.000561
560	0.002520	0.000608
570	0.002120	0.000665
580	0.002185	0.000686
590	0.002400	0.000677
600	0.002493	0.000694
610	0.002324	0.000652
620	0.002500	0.000843
630	0.002140	0.000795
640	0.001914	0.000660
650	0.001974	0.000671
660	0.001620	0.000722
670	0.001996	0.000718
680	0.001757	0.000690
690	0.002128	0.000716
700	0.002051	0.000822
710	0.002222	0.000814
720	0.002162	0.000883
730	0.002131	0.000772
740	0.001767	0.000735
750	0.001803	0.000687
760	0.001760	0.000800
770	0.001954	0.000794
780	0.001645	0.000702
790	0.001646	0.000719
800	0.001797	0.000724
810	0.001742	0.000883
820	0.002186	0.000849
830	0.001952	0.000890
840	0.002170	0.001319
850	0.002073	0.000998
860	0.001784	0.000870
870	0.002752	0.000864
880	0.001823	0.000943
890	0.002013	0.001037
900	0.001932	0.000983
910	0.002020	0.000948
920	0.001881	0.000993
930	0.001826	0.000998
940	0.001918	0.000935
950	0.001820	0.001059
960	0.001790	0.000891
970	0.001789	0.000940
980	0.001790	0.000932
990	0.001625	0.000969
1000	0.002254	0.000960
1010	0.003358	0.001047
1020	0.004083	0.001081
1030	0.003983	0.001193
1040	0.003660	0.001190
1050	0.004329	0.001449
1060	0.003505	0.001130
1070	0.003572	0.001115
1080	0.003894	0.001246
1090	0.003864	0.001205
1100	0.004606	0.001725
1110	0.004274	0.001571
1120	0.003523	0.001170
1130	0.003159	0.001047
1140	0.003595	0.001172
1150	0.003078	0.001056
1160	0.003852	0.001298
1170	0.004142	0.001263
