# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Bfree	Time(ms)Free}
10	0.000340	0.000032
20	0.000348	0.000034
30	0.000338	0.000039
40	0.000380	0.000056
50	0.000553	0.000037
60	0.000537	0.000034
70	0.000650	0.000067
80	0.000545	0.000039
90	0.000525	0.000067
100	0.000596	0.000111
110	0.001010	0.000052
120	0.000960	0.000071
130	0.000965	0.000093
140	0.000881	0.000086
150	0.000884	0.000082
160	0.000807	0.000094
170	0.000854	0.000106
180	0.001260	0.000124
190	0.000996	0.000091
200	0.000907	0.000113
210	0.001096	0.000126
220	0.000743	0.000137
230	0.000808	0.000085
240	0.001315	0.000090
250	0.001290	0.000085
260	0.001290	0.000098
270	0.001265	0.000091
280	0.001279	0.000095
290	0.001255	0.000103
300	0.001360	0.000121
310	0.001601	0.000107
320	0.001455	0.000096
330	0.001275	0.000105
340	0.001245	0.000098
350	0.001271	0.000111
360	0.001246	0.000101
370	0.001271	0.000103
380	0.001259	0.000111
390	0.001246	0.000112
400	0.001259	0.000107
410	0.001266	0.000110
420	0.001246	0.000115
430	0.001268	0.000113
440	0.001275	0.000115
450	0.001267	0.000133
460	0.001260	0.000131
470	0.001264	0.000116
480	0.001292	0.000127
490	0.002444	0.000126
500	0.002770	0.000162
510	0.002956	0.000539
520	0.002440	0.000110
530	0.002422	0.000140
540	0.002332	0.000143
550	0.002398	0.000133
560	0.002945	0.000197
570	0.003278	0.000249
580	0.003100	0.000225
590	0.003375	0.000180
600	0.002524	0.000151
610	0.002356	0.000150
620	0.002294	0.000159
630	0.002396	0.000148
640	0.002230	0.000189
650	0.002506	0.000213
660	0.003442	0.000182
670	0.002552	0.000178
680	0.002505	0.000162
690	0.002474	0.000165
700	0.002768	0.000208
710	0.002398	0.000156
720	0.002627	0.000202
730	0.002681	0.000227
740	0.002375	0.000259
750	0.002603	0.000204
760	0.002417	0.000163
770	0.002252	0.000171
780	0.002006	0.000174
790	0.002196	0.000181
800	0.002192	0.000178
810	0.002441	0.000198
820	0.002318	0.000193
830	0.002333	0.000166
840	0.002928	0.000195
850	0.003244	0.000208
860	0.002526	0.000202
870	0.002305	0.000168
880	0.002326	0.000196
890	0.002276	0.000195
900	0.002253	0.000198
910	0.002678	0.000225
920	0.002316	0.000205
930	0.002467	0.000208
940	0.002359	0.000226
950	0.002473	0.000205
960	0.002174	0.000196
970	0.002204	0.000192
980	0.002349	0.000189
990	0.002582	0.000212
1000	0.002144	0.000223
1010	0.004870	0.000184
1020	0.005586	0.000221
1030	0.005738	0.000322
1040	0.005069	0.000214
1050	0.004831	0.000418
1060	0.004973	0.000300
1070	0.004693	0.000299
1080	0.005237	0.000474
1090	0.004662	0.000269
1100	0.005549	0.000366
1110	0.004246	0.000221
1120	0.004583	0.000262
1130	0.005824	0.000207
1140	0.006230	0.000246
1150	0.005037	0.000287
1160	0.004698	0.000291
1170	0.005444	0.000228
1180	0.004624	0.000466
1190	0.005389	0.000267
1200	0.004791	0.000267
1210	0.004863	0.000307
1220	0.004731	0.000376
1230	0.005067	0.000225
1240	0.005147	0.000373
1250	0.006020	0.000383
1260	0.005106	0.000282
1270	0.004103	0.000238
1280	0.004553	0.000273
1290	0.004006	0.000239
