#threads: 2
#Benchmark, creating and producing/consuming with threads!
#
#
#{#productions	timeGreen(ms)	timePthread(ms)}
200	5.524000	21.194000
400	10.381000	33.385000
600	24.997000	22.714000
800	23.367000	51.605000
1000	23.035000	25.332000
1200	33.394000	75.271000
1400	40.204000	143.311000
1600	42.553000	127.822000
1800	44.824000	128.153000
2000	40.451000	184.973000
2200	45.149000	133.340000
2400	48.794000	247.294000
2600	57.255000	256.976000
2800	55.776000	282.232000
3000	55.460000	40.985000
3200	58.069000	306.520000
3400	73.044000	45.846000
3600	82.958000	344.468000
3800	86.853000	78.052000
4000	84.838000	415.306000
4200	95.498000	55.928000
4400	70.760000	452.406000
4600	85.963000	62.828000
4800	76.882000	426.375000
5000	87.614000	294.954000
5200	114.537000	488.598000
5400	114.074000	97.324000
5600	98.746000	93.019000
5800	102.331000	524.768000
6000	103.843000	79.195000
6200	98.407000	576.193000
6400	119.864000	284.392000
6600	113.767000	81.640000
6800	114.513000	601.193000
7000	120.009000	84.499000
7200	115.911000	633.133000
7400	125.000000	170.821000
7600	135.814000	493.266000
7800	127.482000	103.727000
8000	143.064000	736.296000
8200	144.700000	243.307000
8400	142.533000	99.573000
8600	135.829000	798.629000
8800	144.806000	105.812000
9000	144.493000	677.582000
9200	161.311000	795.993000
9400	164.313000	114.164000
9600	163.054000	900.181000
9800	167.578000	118.473000
10000	160.236000	922.560000
